,title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Has_Service_History,Mileage
704,Toyota RAV4,3995,134800,2010,1,Diesel,SUV,2.2L,Manual,5.0,5.0,Euro 5,1,134800
705,Nissan Qashqai+2,5490,102000,2013,3,Petrol,SUV,1.6L,Manual,5.0,7.0,Euro 5,0,102000
706,Fiat 500,2495,95000,2008,3,Petrol,Hatchback,1.2L,Manual,3.0,4.0,Euro 4,0,95000
707,Audi A4,2295,121000,2004,8,Petrol,Saloon,1.8L,Automatic,4.0,5.0,Euro 4,0,121000
708,Peugeot 308,3799,61000,2010,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 4,0,61000
709,Hyundai i20,2950,66300,2010,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,66300
710,Renault Megane,3750,92000,2012,1,Petrol,Hatchback,2.0L,Manual,5.0,5.0,Euro 5,0,92000
711,Suzuki Grand Vitara,5000,64000,2010,4,Petrol,SUV,2.4L,Manual,5.0,5.0,Euro 4,1,64000
712,Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,93000
713,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,70189
714,Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5.0,5.0,Euro 6,0,56984
715,Ford S-max,4495,97155,2012,1,Diesel,MPV,2.0L,Automatic,5.0,7.0,Euro 5,1,97155
716,SEAT Ibiza,4399,91804,2015,2,Petrol,Estate,1.2L,Manual,5.0,5.0,Euro 5,0,91804
717,Mercedes-Benz A Class,16990,18137,2019,3,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,18137
718,Suzuki Swift,3940,75000,2014,1,Petrol,Hatchback,1.2L,Manual,3.0,4.0,Euro 5,1,75000
719,MINI Hatch,3949,87000,2010,3,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 5,0,87000
720,Lexus LS 430,3950,153000,2005,3,Petrol,Saloon,4.3L,Automatic,4.0,5.0,Euro 4,1,153000
721,BMW 3 Series,2500,113000,2007,5,Petrol,Coupe,2.5L,Automatic,2.0,4.0,Euro 4,0,113000
722,Ford Focus,3940,77241,2011,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,77241
723,Peugeot 308,1800,52000,2009,4,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,52000
724,Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,149000
725,Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5.0,5.0,Euro 6,0,56984
726,Honda Civic,9198,78691,2018,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,78691
727,Volkswagen Polo,3495,100667,2011,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,100667
728,BMW 1 Series,4599,97000,2012,3,Diesel,Hatchback,2.0L,Manual,5.0,5.0,Euro 5,0,97000
729,Nissan Note,4595,82364,2014,2,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,1,82364
730,Ford Focus,1575,127000,2007,3,Diesel,Hatchback,2.0L,Manual,3.0,5.0,Euro 4,1,127000
731,Chevrolet Cruze,3990,93000,2012,3,Petrol,Hatchback,1.8L,Automatic,5.0,5.0,Euro 5,0,93000
732,Honda Civic,2490,101200,2008,2,Petrol,Hatchback,1.8L,Manual,3.0,5.0,Euro 4,0,101200
733,Ford C-max,2389,115000,2007,3,Petrol,MPV,2.0L,Automatic,5.0,5.0,Euro 4,0,115000
734,Citroen C4 Cactus,4289,112000,2015,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,112000
735,Vauxhall Corsa,3300,94650,2014,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 5,0,94650
736,Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,93000
737,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
738,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
739,BMW X3,4995,80750,2010,7,Diesel,SUV,2.0L,Automatic,5.0,5.0,Euro 5,0,80750
740,SEAT Ibiza,2800,77000,2011,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,77000
741,Renault Clio,7150,41000,2015,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,1,41000
742,Mercedes-Benz A Class,2199,69200,2012,5,Petrol,Hatchback,1.5L,Manual,5.0,5.0,Euro 5,0,69200
743,Mercedes-Benz C Class,1995,89400,2006,2,Diesel,Saloon,2.1L,Automatic,4.0,5.0,Euro 4,0,89400
744,Toyota Corolla Verso,1949,105000,2002,2,Petrol,MPV,1.8L,Manual,5.0,5.0,Euro 4,0,105000
745,BMW 3 Series,5250,137000,2010,3,Petrol,Coupe,3.0L,Automatic,2.0,4.0,Euro 5,0,137000
746,Honda Accord,3495,103000,2008,2,Petrol,Saloon,2.4L,Automatic,4.0,5.0,Euro 4,0,103000
747,Volkswagen Passat,2500,134503,2010,2,Diesel,Saloon,2.0L,Manual,4.0,5.0,Euro 5,0,134503
748,Renault Clio,2395,66200,2011,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,66200
749,Volkswagen Polo,3495,127000,2015,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 6,0,127000
750,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
751,Ford Focus,8975,86500,2017,3,Diesel,Hatchback,1.5L,Manual,5.0,5.0,Euro 6,0,86500
752,BMW 3 Series,2995,97000,2005,3,Petrol,Saloon,2.5L,Automatic,4.0,5.0,Euro 4,0,97000
753,Mercedes-Benz E Class,6580,110000,2014,5,Diesel,Convertible,2.1L,Automatic,2.0,4.0,Euro 5,0,110000
754,Vauxhall Corsa,2950,34050,2006,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 4,0,34050
755,DS Automobiles DS 3,6950,53000,2018,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 6,0,53000
756,Volkswagen Polo,8150,66000,2016,3,Petrol,Hatchback,1.0L,Manual,5.0,5.0,Euro 6,0,66000
757,Volkswagen Polo,2000,112638,2008,2,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 4,1,112638
758,Vauxhall Astra,2990,49000,2011,2,Petrol,Hatchback,1.6L,Manual,3.0,5.0,Euro 5,0,49000
759,Honda Jazz,3995,69920,2007,3,Petrol,Hatchback,1.4L,Automatic,5.0,5.0,Euro 4,0,69920
760,Mitsubishi Outlander,3295,73328,2004,3,Petrol,SUV,2.4L,Automatic,5.0,5.0,Euro 4,0,73328
761,Nissan Qashqai+2,3950,118000,2010,3,Petrol,SUV,2.0L,Manual,5.0,7.0,Euro 4,0,118000
762,Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,111400
763,Ford Focus,8975,86500,2017,3,Diesel,Hatchback,1.5L,Manual,5.0,5.0,Euro 6,0,86500
764,Peugeot 308,9149,55301,2016,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,55301
765,Ford Fiesta,3250,80653,2009,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,80653
766,KIA Picanto,3990,26500,2009,3,Petrol,Hatchback,1.1L,Automatic,5.0,4.0,Euro 4,0,26500
767,BMW 3 Series,9599,89890,2013,5,Petrol,Saloon,2.0L,Manual,4.0,5.0,Euro 6,0,89890
768,MINI Hatch,2700,96166,2007,5,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 4,0,96166
769,Ford Fiesta,1950,167574,2009,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,167574
770,Volvo S80,4495,72000,2006,3,Petrol,Saloon,2.5L,Automatic,4.0,5.0,Euro 4,0,72000
771,BMW 5 Series,2000,125000,2006,5,Petrol,Saloon,2.5L,Manual,4.0,5.0,Euro 4,0,125000
772,Audi A3,2495,103000,2004,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 4,0,103000
773,Mitsubishi Colt,1495,115000,2007,4,Petrol,Hatchback,1.5L,Manual,3.0,5.0,Euro 4,0,115000
774,Ford Focus,890,145000,2004,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 3,0,145000
775,Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,149000
776,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
777,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,70189
778,BMW 3 Series,1999,137724,2006,3,Petrol,Coupe,2.5L,Automatic,2.0,4.0,Euro 4,0,137724
779,Fiat Punto,1490,32000,2004,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 3,0,32000
780,BMW 7 Series,4450,93000,2004,3,Petrol,Saloon,4.4L,Automatic,4.0,5.0,Euro 3,0,93000
781,MINI Hatch,5000,59000,2012,2,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 5,0,59000
782,Suzuki SX4 S-CROSS,10744,64600,2017,3,Petrol,SUV,1.0L,Automatic,5.0,5.0,Euro 6,1,64600
783,Mercedes-Benz E Class,6300,139000,2009,4,Petrol,Coupe,3.5L,Automatic,2.0,4.0,Euro 5,0,139000
784,Ford Focus,12599,29000,2018,2,Petrol,Hatchback,1.0L,Manual,5.0,5.0,Euro 6,1,29000
785,Volkswagen Tiguan,2889,100000,2008,3,Diesel,SUV,2.0L,Automatic,5.0,5.0,Euro 4,0,100000
786,Volkswagen Golf,2900,36000,2006,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,36000
787,Volkswagen Passat,1895,173000,2007,3,Diesel,Estate,2.0L,Automatic,5.0,5.0,Euro 4,0,173000
788,Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,130000
789,MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3.0,4.0,Euro 6,0,46923
790,Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5.0,5.0,Euro 6,0,56984
791,Daewoo Kalos,995,62807,2003,2,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 3,0,62807
792,Vauxhall Insignia,2745,78000,2011,3,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,1,78000
793,Ford Fiesta,4480,34000,2010,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,34000
794,Audi A4,2449,57000,2004,3,Petrol,Saloon,2.0L,Automatic,4.0,5.0,Euro 4,0,57000
795,Peugeot 107,3295,77106,2013,1,Petrol,Hatchback,1.0L,Manual,3.0,4.0,Euro 5,1,77106
796,Honda Jazz,2450,93000,2010,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,93000
797,Citroen Grand C4 Picasso,2999,130000,2012,3,Diesel,MPV,1.6L,Automatic,5.0,7.0,Euro 5,0,130000
798,Mazda Mazda2,7499,41200,2016,3,Petrol,Hatchback,1.5L,Manual,5.0,5.0,Euro 6,0,41200
799,Volkswagen EOS,4390,102000,2011,1,Petrol,Convertible,1.4L,Manual,2.0,4.0,Euro 5,0,102000
800,Mercedes-Benz B Class,6499,83000,2013,3,Diesel,MPV,1.5L,Manual,5.0,5.0,Euro 5,0,83000
801,SEAT Ibiza,2799,99061,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,99061
802,Peugeot 308,9149,55301,2016,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,55301
803,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
804,Suzuki Alto,2000,76833,2011,3,Petrol,Hatchback,1.0L,Manual,5.0,4.0,Euro 5,0,76833
805,KIA RIO,3800,92000,2013,3,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 5,1,92000
806,Fiat Grande Punto,1499,49970,2009,2,Diesel,Hatchback,1.3L,Manual,3.0,5.0,Euro 4,0,49970
807,BMW 1 Series,3890,94300,2010,3,Petrol,Hatchback,2.0L,Manual,5.0,5.0,Euro 5,0,94300
808,Nissan Qashqai,3950,112000,2009,3,Petrol,Hatchback,2.0L,Automatic,5.0,5.0,Euro 4,0,112000
809,Mercedes-Benz C Class,5999,79700,2012,3,Diesel,Saloon,2.1L,Manual,4.0,5.0,Euro 5,0,79700
810,Vauxhall Astra,6495,63495,2016,4,Petrol,Hatchback,1.0L,Manual,5.0,5.0,Euro 6,0,63495
811,BMW 3 Series,1999,138000,2003,6,Petrol,Estate,2.2L,Automatic,5.0,5.0,Euro 3,0,138000
812,Chevrolet Aveo,2845,89181,2013,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,1,89181
813,MINI Hatch,2995,74700,2003,4,Petrol,Hatchback,1.6L,Automatic,3.0,4.0,Euro 3,0,74700
814,Chevrolet Captiva,4500,97153,2013,4,Diesel,SUV,2.2L,Automatic,5.0,7.0,Euro 5,0,97153
815,Dodge Nitro,3250,125000,2008,3,Petrol,SUV,3.7L,Automatic,5.0,5.0,Euro 4,0,125000
816,Vauxhall Corsa,3499,56285,2015,1,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,56285
817,BMW X5,4800,84500,2006,3,Diesel,SUV,3.0L,Automatic,5.0,5.0,Euro 4,0,84500
818,Ford Focus,4499,108000,2013,3,Petrol,Estate,1.6L,Automatic,5.0,5.0,Euro 5,0,108000
819,Nissan Juke,3699,120300,2014,3,Diesel,SUV,1.5L,Manual,5.0,5.0,Euro 5,0,120300
820,Mazda Mazda6,2500,153000,2006,3,Petrol,Hatchback,2.0L,Automatic,5.0,5.0,Euro 4,1,153000
821,Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,149000
822,Peugeot 308,9149,55301,2016,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,55301
823,Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5.0,5.0,Euro 6,0,56984
824,Honda Cr-v,2775,115961,2007,3,Diesel,SUV,2.2L,Manual,5.0,5.0,Euro 4,0,115961
825,Ford KA,1499,52000,2008,3,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 4,1,52000
826,Volkswagen Scirocco,5950,87000,2008,1,Petrol,Hatchback,2.0L,Automatic,3.0,4.0,Euro 4,0,87000
827,SEAT Ibiza,3295,84131,2012,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,84131
828,Toyota Auris,4490,125998,2015,3,Petrol,Estate,1.3L,Manual,5.0,5.0,Euro 6,0,125998
829,Nissan Note,6289,74527,2014,3,Petrol,Hatchback,1.2L,Automatic,5.0,5.0,Euro 5,1,74527
830,Vauxhall Mokka,5950,56250,2016,1,Diesel,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,56250
831,Volkswagen Polo,5500,71000,2010,5,Petrol,Hatchback,1.4L,Automatic,5.0,5.0,Euro 5,0,71000
832,MINI Hatch,7999,45000,2015,3,Petrol,Hatchback,1.2L,Manual,3.0,4.0,Euro 6,0,45000
833,Peugeot 307,2490,38563,2007,2,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,38563
834,Ford Focus,798,140599,2008,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,140599
835,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
836,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
837,Vauxhall Astra GTC,4995,91000,2014,3,Petrol,Coupe,1.6L,Manual,3.0,5.0,Euro 5,0,91000
838,BMW 1 Series,9200,48650,2015,4,Petrol,Hatchback,1.5L,Manual,3.0,5.0,Euro 6,0,48650
839,KIA Picanto,4490,12500,2012,1,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 5,0,12500
840,Hyundai i20,5999,27500,2014,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,27500
841,BMW 1 Series,2599,83800,2006,1,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,83800
842,Ford Fiesta,1950,170000,2010,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,170000
843,Toyota Corolla,1499,109000,2003,6,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,109000
844,KIA Soul,2800,80000,2009,2,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 4,0,80000
845,Ford Focus,3750,61000,2010,3,Diesel,Hatchback,2.0L,Automatic,5.0,5.0,Euro 4,0,61000
846,Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,130000
847,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
848,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
849,Vauxhall Corsa,4940,58998,2015,1,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,58998
850,Ford Focus,7250,57000,2014,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 5,0,57000
851,BMW X1,3290,152000,2011,4,Diesel,SUV,2.0L,Automatic,5.0,5.0,Euro 5,0,152000
852,Renault Clio,3275,55000,2013,4,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,55000
853,MINI Hatch,2495,92200,2008,2,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 4,0,92200
854,BMW 3 Series,4495,185000,2012,5,Diesel,Saloon,2.0L,Manual,4.0,5.0,Euro 5,0,185000
855,Nissan Pathfinder,3000,135607,2006,5,Diesel,SUV,2.5L,Automatic,5.0,7.0,Euro 4,0,135607
856,Nissan Note,5500,97000,2014,2,Petrol,Hatchback,1.2L,Automatic,5.0,5.0,Euro 5,0,97000
857,Nissan Juke,4225,108600,2013,1,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 5,0,108600
858,BMW 1 Series,6995,58264,2013,4,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,58264
859,Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,79000
860,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
861,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
862,Ford Fiesta,2999,95000,2010,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,95000
863,Vauxhall Astra GTC,4250,77700,2014,4,Petrol,Coupe,1.4L,Manual,3.0,5.0,Euro 5,0,77700
864,Vauxhall Corsa,1890,29809,2003,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 4,0,29809
865,Fiat 500,3989,62000,2010,3,Petrol,Hatchback,1.2L,Manual,3.0,4.0,Euro 5,1,62000
866,BMW 3 Series,3995,87000,2005,5,Petrol,Coupe,2.0L,Manual,2.0,5.0,Euro 3,0,87000
867,BMW 1 Series,3900,105950,2012,2,Diesel,Hatchback,2.0L,Manual,5.0,5.0,Euro 5,0,105950
868,Renault Megane,2495,51200,2008,3,Petrol,Saloon,1.6L,Automatic,4.0,5.0,Euro 4,0,51200
869,Volkswagen Golf Plus,2490,90960,2008,4,Diesel,Hatchback,1.9L,Manual,5.0,5.0,Euro 4,0,90960
870,Honda Civic,2250,107000,2006,6,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 4,0,107000
871,Vauxhall Corsa,2395,61805,2009,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 4,0,61805
872,Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,87000
873,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
874,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
875,Volkswagen Polo,2975,42500,2002,2,Petrol,Hatchback,1.4L,Automatic,5.0,5.0,Euro 4,0,42500
876,Citroen C1,1750,95811,2011,3,Petrol,Hatchback,1.0L,Manual,3.0,4.0,Euro 5,0,95811
877,Ford KA,1595,40000,2007,6,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 4,0,40000
878,Citroen C4 Cactus,6399,92000,2016,2,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,1,92000
879,Citroen C4,2295,70000,2007,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 4,1,70000
880,SEAT Ibiza,2799,99061,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,99061
881,Honda Civic,9198,78691,2018,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,78691
882,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
883,Mazda CX-5,4900,127900,2014,3,Diesel,SUV,2.2L,Automatic,5.0,5.0,Euro 6,0,127900
884,Chevrolet Cruze,3495,108000,2011,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 5,0,108000
885,Volkswagen Polo,4990,76649,2010,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,76649
886,MINI Hatch,5995,94000,2015,3,Petrol,Hatchback,1.5L,Manual,3.0,4.0,Euro 6,0,94000
887,MINI Convertible,2449,79000,2008,3,Petrol,Convertible,1.6L,Manual,2.0,4.0,Euro 3,0,79000
888,Mercedes-Benz A Class,5200,120000,2015,3,Diesel,Hatchback,2.1L,Manual,5.0,5.0,Euro 6,0,120000
889,Toyota Corolla,13990,42817,2019,1,Petrol Hybrid,Hatchback,1.8L,Automatic,5.0,5.0,Euro 6,0,42817
890,MINI Hatch,9495,61385,2018,1,Petrol,Hatchback,1.5L,Manual,3.0,4.0,Euro 6,1,61385
891,Toyota RAV4,8990,49000,2011,1,Diesel,SUV,2.2L,Automatic,5.0,5.0,Euro 5,0,49000
892,Hyundai i20,7795,51082,2017,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,1,51082
893,Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,79000
894,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
895,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
896,Vauxhall Meriva,3100,61000,2011,2,Petrol,MPV,1.4L,Manual,5.0,5.0,Euro 5,1,61000
897,Vauxhall Corsa,6199,30000,2014,1,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,30000
898,Vauxhall Insignia,3990,138717,2016,3,Diesel,Hatchback,1.6L,Automatic,5.0,5.0,Euro 6,0,138717
899,Honda Civic,5490,52500,2009,3,Petrol,Hatchback,1.8L,Automatic,5.0,5.0,Euro 5,0,52500
900,Mercedes-Benz C Class,8990,80429,2012,5,Petrol,Coupe,1.6L,Automatic,2.0,4.0,Euro 5,0,80429
901,Chrysler 300C,3495,109000,2006,3,Petrol,Saloon,3.5L,Automatic,4.0,5.0,Euro 4,1,109000
902,Ford Focus,2495,60000,2007,2,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,60000
903,Renault Megane,2499,75000,2010,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,75000
904,Mercedes-Benz C Class,3800,115000,2007,3,Petrol,Saloon,2.5L,Automatic,4.0,5.0,Euro 4,0,115000
905,Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,87000
906,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
907,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
908,Ford Fiesta,1389,117000,2005,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,117000
909,Volkswagen Golf,1895,136331,2005,4,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,136331
910,Mercedes-Benz B Class,2275,125200,2006,5,Petrol,MPV,1.7L,Automatic,5.0,5.0,Euro 4,0,125200
911,Honda Legend,3000,94000,2001,2,Petrol,Saloon,3.5L,Automatic,4.0,5.0,Euro 2,0,94000
912,BMW 3 Series,6700,105000,1999,7,Petrol,Coupe,2.5L,Manual,2.0,5.0,Euro 2,0,105000
913,Volkswagen Golf Plus,3799,81000,2010,2,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,1,81000
914,Vauxhall Corsa,5995,64992,2015,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 6,1,64992
915,Dacia Sandero,3400,62000,2016,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,62000
916,Ford Fiesta,3499,81000,2011,5,Petrol,Hatchback,1.3L,Manual,5.0,5.0,Euro 5,0,81000
917,Volkswagen Golf,2750,150662,2009,1,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,1,150662
918,Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,149000
919,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,70189
920,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,70189
921,Vauxhall Corsa,2240,55000,2014,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,55000
922,Vauxhall Zafira,1950,116700,2010,4,Petrol,MPV,1.6L,Manual,5.0,7.0,Euro 4,1,116700
923,Mercedes-Benz E Class,4000,95257,2011,3,Diesel,Saloon,2.1L,Automatic,4.0,5.0,Euro 5,0,95257
924,BMW 3 Series,2999,106708,2008,5,Petrol,Convertible,2.0L,Manual,2.0,4.0,Euro 4,0,106708
925,Ford Focus,2100,90207,2009,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,90207
926,Hyundai i20,2499,81585,2009,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 4,0,81585
927,Vauxhall Insignia,1990,115000,2009,5,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,1,115000
928,Vauxhall Meriva,4250,91500,2015,3,Diesel,MPV,1.7L,Automatic,5.0,5.0,Euro 5,0,91500
929,Ford Focus,4300,81426,2014,6,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 5,0,81426
